crossencoder_score,distance
2.45758939453892e-05,0.9959326069802046
1.4740359525040769e-05,0.945188857614994
1.9375599425780076e-05,0.890987366437912
1.2710355078146692e-05,0.724106103181839
1.6920736840668136e-05,0.9275669157505035
1.2952342282342722e-05,0.8476927727460861
2.1843496006089168e-05,0.9330184310674667
1.2896925874989278e-05,0.8415455520153046
1.60747889821999e-05,0.9887708723545074
1.1770042524123888e-05,0.8622681051492691
1.221583695018326e-05,0.9043993502855301
1.0636422301043006e-05,1.0528037771582603
1.990400467856118e-05,0.8119422644376755
1.9027993955935342e-05,0.9453830309212208
1.522277207379567e-05,0.7852240949869156
1.161881610158609e-05,0.8468413203954697
1.121295127811739e-05,0.9731509480625391
1.3628277505108296e-05,0.9195295870304108
1.4809118997121349e-05,0.8901883810758591
4.8051340039910866e-05,0.8821224272251129
1.3430486476223905e-05,0.659911572933197
1.1005727421123102e-05,0.9769538678228855
1.309447453172317e-05,0.8981504589319229
5.8401043314085505e-05,0.9447675310075283
1.1870468988525437e-05,0.798012301325798
4.049003328195506e-05,0.8100278377532959
1.491408318131679e-05,0.8159661889076233
1.3412515883792182e-05,0.6718533039093018
2.1268145626953666e-05,0.8761522769927979
1.2919453260697815e-05,0.9068899154663086
1.4075207828239464e-05,0.941616453230381
1.9025616956950986e-05,0.9023122042417526
1.1197744913274488e-05,0.8015507161617279
1.504023091683999e-05,0.8294220268726349
1.9519815715398843e-05,0.9890478309243917
2.0418624242186767e-05,0.7319532036781311
1.3139119067300533e-05,0.7849132120609283
1.5054408741992259e-05,0.9385975226759911
1.0729468184046457e-05,0.8568247258663177
0.00020304542189636908,0.6755542457103729
1.1982991935864593e-05,0.8954643830657005
1.2776588598768935e-05,0.8659951090812683
1.4195180720607243e-05,0.8267010152339935
0.00015647663659551652,0.9177925288677216
1.1935159735462467e-05,0.7557641267776489
1.55791130967516e-05,0.9582834653556347
1.417391589147477e-05,0.7824474275112152
1.3238393692766851e-05,0.9464837834239006
3.312158144882571e-05,0.8985463380813599
2.4212500720447382e-05,0.8883450031280518
1.4862741510180658e-05,0.7968479692935944
1.3223756849392502e-05,0.9339408054947853
1.8297258927089887e-05,0.8510762751102448
2.4887025465484885e-05,0.8657333552837372
1.2288783507824853e-05,0.9600046426057816
1.2042414443992253e-05,1.0008975435048342
1.6792599642576127e-05,0.7936306744813919
1.4098542858018448e-05,0.9288694262504578
1.3949981511104846e-05,0.9754956401884556
1.0935004266380834e-05,0.8703189939260483
1.1478592978325584e-05,0.9491568095982075
1.206136712295143e-05,0.9667317345738411
1.907616029513743e-05,0.8757506757974625
2.7652688068343024e-05,0.9672538712620735
1.235825221920223e-05,0.8196550756692886
2.3158925374278128e-05,0.8733386248350143
1.142996151851245e-05,1.0543272942304611
1.991735318937244e-05,0.939549021422863
1.916847131852241e-05,1.0309628024697304
2.1915126450585892e-05,0.8546263873577118
2.6542913090514874e-05,0.7137090563774109
2.08725699038458e-05,0.8179952055215836
1.2929313654825616e-05,0.9299405664205551
1.2108619597602829e-05,0.9582826159894466
1.3332771758598623e-05,0.9751812592148781
1.322779298217205e-05,0.7438267469406128
