query_idx,gt_llm_rank,gt_llm_score,n_docs,gt_rank_pct,rag_failed
1,1,1.0,6000,99.95,1
2,1,1.0,6000,99.85833333333333,1
3,1,1.0,6000,99.99166666666666,1
4,1,1.0,6000,99.93333333333334,1
5,1,1.0,6000,99.725,1
6,1,1.0,6000,99.90833333333333,1
7,1,1.0,6000,99.94166666666666,1
8,1,1.0,6000,99.74166666666666,1
9,1,1.0,6000,99.89166666666667,1
10,1,1.0,6000,99.95,1
11,1,1.0,6000,99.975,1
12,1,1.0,6000,99.89166666666667,1
13,1,1.0,6000,99.9,1
14,1,1.0,6000,99.95,1
15,1,1.0,6000,99.975,1
16,1,1.0,6000,99.95833333333333,1
17,1,1.0,6000,99.89166666666667,1
18,1,1.0,6000,99.99166666666666,1
19,1,1.0,6000,99.94166666666666,1
20,1,1.0,6000,99.95,1
21,1,1.0,6000,99.975,1
22,1,1.0,6000,99.91666666666667,1
23,1,1.0,6000,100.0,1
24,1,1.0,6000,99.575,1
25,1,1.0,6000,99.96666666666667,1
26,1,1.0,6000,99.8,1
27,1,1.0,6000,99.75833333333333,1
28,1,1.0,6000,99.94166666666666,1
29,1,1.0,6000,99.91666666666667,1
30,1,1.0,6000,99.90833333333333,1
31,1,1.0,6000,99.86666666666666,1
32,1,1.0,6000,99.96666666666667,1
33,1,1.0,6000,99.95,1
34,1,1.0,6000,99.95,1
35,1,1.0,6000,99.85,1
36,1,1.0,6000,99.89166666666667,1
37,1,1.0,6000,99.76666666666667,1
38,1,1.0,6000,99.93333333333334,1
39,1,1.0,6000,99.85,1
40,1,1.0,6000,99.84166666666667,1
41,1,1.0,6000,99.89166666666667,1
42,1,1.0,6000,99.96666666666667,1
43,6,0.8,6000,99.85,1
44,1,1.0,6000,99.825,1
45,1,1.0,6000,99.85833333333333,1
46,1,1.0,6000,99.95,1
47,1,1.0,6000,99.875,1
48,1,1.0,6000,99.875,1
49,1,1.0,6000,100.0,1
50,1,1.0,6000,99.76666666666667,1
51,1,1.0,6000,99.925,1
52,1,1.0,6000,99.90833333333333,1
53,1,1.0,6000,99.79166666666667,1
54,1,1.0,6000,99.96666666666667,1
55,1,1.0,6000,99.975,1
56,1,1.0,6000,99.90833333333333,1
57,1,1.0,6000,99.9,1
58,1,1.0,6000,99.8,1
59,1,1.0,6000,99.91666666666667,1
60,1,1.0,6000,99.88333333333333,1
61,1,1.0,6000,99.96666666666667,1
62,1,1.0,6000,99.85833333333333,1
63,1,1.0,6000,99.89166666666667,1
64,1,1.0,6000,99.95833333333333,1
65,1,1.0,6000,99.99166666666666,1
66,1,1.0,6000,99.80833333333334,1
67,1,1.0,6000,99.90833333333333,1
68,1,1.0,6000,99.94166666666666,1
69,1,1.0,6000,99.90833333333333,1
70,1,1.0,6000,99.94166666666666,1
71,1,1.0,6000,99.94166666666666,1
72,1,1.0,6000,99.80833333333334,1
73,1,1.0,6000,99.96666666666667,1
74,1,1.0,6000,99.88333333333333,1
75,1,1.0,6000,99.79166666666667,1
76,1,1.0,6000,99.93333333333334,1
77,1,1.0,6000,99.93333333333334,1
78,1,1.0,6000,99.88333333333333,1
79,1,1.0,6000,99.99166666666666,1
80,1,1.0,6000,99.875,1
81,1,1.0,6000,99.875,1
82,1,1.0,6000,99.95,1
83,1,1.0,6000,99.99166666666666,1
84,1,1.0,6000,99.875,1
85,1,1.0,6000,99.98333333333333,1
86,1,1.0,6000,99.98333333333333,1
87,28,0.6,6000,99.23333333333333,1
88,1,1.0,6000,100.0,1
89,1,1.0,6000,99.96666666666667,1
90,1,1.0,6000,99.85833333333333,1
91,1,1.0,6000,99.9,1
92,1,1.0,6000,99.95833333333333,1
93,1,1.0,6000,99.88333333333333,1
94,1,1.0,6000,99.75833333333333,1
95,1,1.0,6000,99.95,1
96,1,1.0,6000,99.88333333333333,1
97,1,1.0,6000,99.95,1
98,1,1.0,6000,99.95833333333333,1
99,1,1.0,6000,99.85,1
100,1,1.0,6000,99.96666666666667,1
101,1,1.0,6000,99.89166666666667,1
102,1,1.0,6000,99.99166666666666,1
103,1,1.0,6000,99.84166666666667,1
104,1,1.0,6000,99.775,1
105,1,1.0,4140,99.92753623188406,1
106,1,1.0,4000,99.78750000000001,1
107,281,0.1,4000,46.5125,1
108,1,1.0,4000,99.97500000000001,1
109,1,1.0,4000,99.86250000000001,1
110,1,1.0,4000,99.9625,1
111,1,1.0,4000,100.0,1
112,1,1.0,4000,99.9,1
113,1,1.0,4000,99.825,1
114,1,1.0,4000,99.95,1
115,1,1.0,4000,99.875,1
116,1,1.0,4000,99.97500000000001,1
117,1,1.0,4000,99.9625,1
118,1,1.0,4000,99.8875,1
119,1,1.0,4000,99.98750000000001,1
120,1,1.0,4000,99.78750000000001,1
121,1,1.0,4000,99.8875,1
122,1,1.0,4000,99.9,1
123,1,1.0,4000,99.825,1
124,1,1.0,4000,99.775,1
125,1,1.0,4000,99.9,1
126,1,1.0,4000,99.9625,1
127,1,1.0,4000,99.92500000000001,1
128,1,1.0,4000,99.80000000000001,1
129,1,1.0,4000,99.98750000000001,1
130,1,1.0,4000,99.85000000000001,1
131,1,1.0,4000,99.8375,1
132,1,1.0,4000,99.875,1
133,1,1.0,4000,99.97500000000001,1
134,1,1.0,4000,99.8875,1
135,1,1.0,4000,99.6375,1
136,1,1.0,4000,99.91250000000001,1
137,1,1.0,4000,99.91250000000001,1
138,1,1.0,4000,99.9625,1
139,1,1.0,4000,99.85000000000001,1
140,9,0.8,4000,99.6875,1
141,1,1.0,4000,99.91250000000001,1
142,1,1.0,4000,99.91250000000001,1
143,1,1.0,4000,99.98750000000001,1
144,1,1.0,4000,99.9375,1
145,1,1.0,4000,99.91250000000001,1
146,1,1.0,4000,99.72500000000001,1
147,1,1.0,4000,99.97500000000001,1
148,1,1.0,4000,99.8375,1
149,1,1.0,4000,99.92500000000001,1
150,1,1.0,4000,99.72500000000001,1
151,1,1.0,4000,99.8875,1
152,1,1.0,4000,99.9625,1
153,1,1.0,4000,99.72500000000001,1
154,1,1.0,4000,99.9625,1
155,1,1.0,4000,99.9,1
156,1,1.0,4000,99.875,1
157,1,1.0,4000,99.9,1
158,1,1.0,4000,99.78750000000001,1
159,1,1.0,4000,99.86250000000001,1
160,1,1.0,4000,99.91250000000001,1
161,1,1.0,4000,99.875,1
162,1,1.0,4000,99.98750000000001,1
163,1,1.0,4000,99.9625,1
164,1,1.0,4000,99.73750000000001,1
165,1,1.0,4000,99.95,1
166,1,1.0,4000,99.95,1
167,1,1.0,4000,99.9,1
168,1,1.0,4000,99.875,1
169,1,1.0,4000,99.98750000000001,1
170,1,1.0,4000,99.8375,1
171,1,1.0,4000,99.8125,1
172,1,1.0,4000,99.825,1
173,1,1.0,4000,99.9375,1
174,1,1.0,4000,99.9,1
175,1,1.0,4000,99.85000000000001,1
176,1,1.0,4000,99.9375,1
177,1,1.0,4000,99.85000000000001,1
178,1,1.0,4000,99.95,1
179,1,1.0,4000,99.92500000000001,1
180,1,1.0,4000,100.0,1
181,1,1.0,4000,99.9375,1
182,1,1.0,4000,99.97500000000001,1
183,1,1.0,4000,99.98750000000001,1
184,1,1.0,4000,99.9625,1
185,1,1.0,4000,99.8375,1
186,1,1.0,4000,99.95,1
187,1,1.0,4000,100.0,1
188,1,1.0,4000,99.98750000000001,1
189,1,1.0,4000,99.9625,1
190,1,1.0,4000,99.5125,1
191,1,1.0,4000,99.91250000000001,1
192,1,1.0,4000,99.825,1
193,1,1.0,4000,99.825,1
194,1,1.0,4000,99.825,1
195,1,1.0,4000,99.9,1
196,1,1.0,4000,99.97500000000001,1
197,1,1.0,4000,99.86250000000001,1
198,1,1.0,4000,99.95,1
199,1,1.0,4000,99.85000000000001,1
